OpenJDK 64-Bit Server VM (24.95-b01) for linux-amd64 JRE (1.7.0_95-b00), built on Jan 21 2016 03:31:40 by "buildd" with gcc 4.8.4
Memory: 4k page, physical 4048216k(2715072k free), swap 0k(0k free)
CommandLine flags: -XX:+CMSClassUnloadingEnabled -XX:+CMSScavengeBeforeRemark -XX:+DisableExplicitGC -XX:InitialHeapSize=1073741824 -XX:+ManagementServer -XX:MaxHeapSize=1073741824 -XX:MaxNewSize=174485504 -XX:MaxTenuringThreshold=6 -XX:NewSize=174485504 -XX:OldPLABSize=16 -XX:OldSize=348971008 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:+UseParNewGC 
2016-04-03T19:02:38.440+0000: 4.951: [GC [1 CMS-initial-mark: 0K(878208K)] 81828K(1031552K), 0.0210400 secs] [Times: user=0.02 sys=0.00, real=0.03 secs] 
2016-04-03T19:02:38.461+0000: 4.973: [CMS-concurrent-mark-start]
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-mark: 0.028/0.028 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2016-04-03T19:02:38.489+0000: 5.001: [CMS-concurrent-preclean-start]
2016-04-03T19:02:38.555+0000: 5.067: [CMS-concurrent-preclean: 0.049/0.066 secs] [Times: user=0.07 sys=0.00, real=0.07 secs] 
2016-04-03T19:02:38.556+0000: 5.067: [CMS-concurrent-abortable-preclean-start]
 CMS: abort preclean due to time 2016-04-03T19:02:43.638+0000: 10.150: [CMS-concurrent-abortable-preclean: 0.121/5.082 secs] [Times: user=0.24 sys=0.02, real=5.08 secs] 
2016-04-03T20:36:12.737+0000: 5619.248: [GC2016-04-03T20:36:12.737+0000: 5619.249: [ParNew: 145567K->9217K(153344K), 0.0296920 secs] 156364K->21103K(1031552K), 0.0304270 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2016-04-03T20:37:19.239+0000: 5685.751: [GC2016-04-03T20:37:19.239+0000: 5685.751: [ParNew: 145537K->9120K(153344K), 0.0305110 secs] 157423K->22060K(1031552K), 0.0311090 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T20:38:26.319+0000: 5752.831: [GC2016-04-03T20:38:26.320+0000: 5752.831: [ParNew: 145440K->9033K(153344K), 0.0396290 secs] 158380K->22973K(1031552K), 0.0402250 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2016-04-03T20:39:33.678+0000: 5820.190: [GC2016-04-03T20:39:33.679+0000: 5820.190: [ParNew: 145353K->9018K(153344K), 0.0330920 secs] 159293K->23943K(1031552K), 0.0340440 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T20:40:40.926+0000: 5887.438: [GC2016-04-03T20:40:40.927+0000: 5887.438: [ParNew: 145338K->9017K(153344K), 0.0394570 secs] 160263K->24933K(1031552K), 0.0400930 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2016-04-03T20:41:49.101+0000: 5955.612: [GC2016-04-03T20:41:49.101+0000: 5955.613: [ParNew: 145337K->9035K(153344K), 0.0296390 secs] 161253K->25955K(1031552K), 0.0306000 secs] [Times: user=0.06 sys=0.00, real=0.03 secs] 
2016-04-03T20:42:57.255+0000: 6023.767: [GC2016-04-03T20:42:57.256+0000: 6023.767: [ParNew: 145355K->9042K(153344K), 0.0359030 secs] 162275K->26970K(1031552K), 0.0365590 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T20:44:06.509+0000: 6093.021: [GC2016-04-03T20:44:06.510+0000: 6093.021: [ParNew: 145362K->9061K(153344K), 0.0450060 secs] 163290K->27990K(1031552K), 0.0457220 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2016-04-03T20:45:15.785+0000: 6162.297: [GC2016-04-03T20:45:15.786+0000: 6162.297: [ParNew: 145381K->9119K(153344K), 0.0469210 secs] 164310K->29055K(1031552K), 0.0475850 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2016-04-03T20:46:25.462+0000: 6231.974: [GC2016-04-03T20:46:25.462+0000: 6231.974: [ParNew: 145439K->9179K(153344K), 0.0348480 secs] 165375K->30098K(1031552K), 0.0362280 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T20:47:32.768+0000: 6299.279: [GC2016-04-03T20:47:32.768+0000: 6299.280: [ParNew: 145499K->9260K(153344K), 0.0317710 secs] 166418K->31189K(1031552K), 0.0324180 secs] [Times: user=0.05 sys=0.01, real=0.03 secs] 
2016-04-03T20:48:38.617+0000: 6365.129: [GC2016-04-03T20:48:38.618+0000: 6365.129: [ParNew: 145580K->9295K(153344K), 0.0346400 secs] 167509K->32232K(1031552K), 0.0352580 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T20:49:45.140+0000: 6431.652: [GC2016-04-03T20:49:45.141+0000: 6431.652: [ParNew: 145615K->9305K(153344K), 0.0357560 secs] 168552K->33262K(1031552K), 0.0364790 secs] [Times: user=0.05 sys=0.01, real=0.04 secs] 
2016-04-03T20:50:52.937+0000: 6499.448: [GC2016-04-03T20:50:52.937+0000: 6499.449: [ParNew: 145625K->9290K(153344K), 0.0521550 secs] 169582K->34315K(1031552K), 0.0531710 secs] [Times: user=0.09 sys=0.00, real=0.05 secs] 
2016-04-03T20:51:58.493+0000: 6565.004: [GC2016-04-03T20:51:58.493+0000: 6565.005: [ParNew: 145610K->9242K(153344K), 0.0303000 secs] 170635K->35314K(1031552K), 0.0311870 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2016-04-03T20:53:05.207+0000: 6631.719: [GC2016-04-03T20:53:05.207+0000: 6631.719: [ParNew: 145562K->9178K(153344K), 0.0432740 secs] 171634K->36306K(1031552K), 0.0439670 secs] [Times: user=0.08 sys=0.00, real=0.04 secs] 
2016-04-03T20:54:10.692+0000: 6697.204: [GC2016-04-03T20:54:10.692+0000: 6697.204: [ParNew: 145498K->9131K(153344K), 0.0316980 secs] 172626K->37285K(1031552K), 0.0322900 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2016-04-03T20:55:18.356+0000: 6764.868: [GC2016-04-03T20:55:18.356+0000: 6764.868: [ParNew: 145451K->9070K(153344K), 0.0277880 secs] 173605K->38232K(1031552K), 0.0284470 secs] [Times: user=0.05 sys=0.00, real=0.03 secs] 
2016-04-03T20:56:26.802+0000: 6833.313: [GC2016-04-03T20:56:26.802+0000: 6833.314: [ParNew: 145390K->9057K(153344K), 0.0465700 secs] 174552K->39225K(1031552K), 0.0472830 secs] [Times: user=0.07 sys=0.01, real=0.04 secs] 
2016-04-03T20:57:34.469+0000: 6900.981: [GC2016-04-03T20:57:34.469+0000: 6900.981: [ParNew: 145377K->9066K(153344K), 0.0310560 secs] 175545K->40243K(1031552K), 0.0318080 secs] [Times: user=0.07 sys=0.00, real=0.04 secs] 
2016-04-03T20:58:41.779+0000: 6968.290: [GC2016-04-03T20:58:41.779+0000: 6968.291: [ParNew: 145386K->9075K(153344K), 0.0417480 secs] 176563K->41253K(1031552K), 0.0424550 secs] [Times: user=0.08 sys=0.00, real=0.05 secs] 
2016-04-03T20:59:48.884+0000: 7035.396: [GC2016-04-03T20:59:48.885+0000: 7035.396: [ParNew: 145395K->9078K(153344K), 0.0314570 secs] 177573K->42272K(1031552K), 0.0321820 secs] [Times: user=0.07 sys=0.00, real=0.03 secs] 
2016-04-03T21:00:58.198+0000: 7104.710: [GC2016-04-03T21:00:58.199+0000: 7104.710: [ParNew: 145398K->9066K(153344K), 0.0359690 secs] 178592K->43241K(1031552K), 0.0366390 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
2016-04-03T21:02:07.040+0000: 7173.551: [GC2016-04-03T21:02:07.040+0000: 7173.552: [ParNew: 145386K->9128K(153344K), 0.0346000 secs] 179561K->44311K(1031552K), 0.0352080 secs] [Times: user=0.06 sys=0.00, real=0.04 secs] 
